/* ITS A GIFT, WITh NO VALUE YOU CAN MEASURE,
*  FOR YOU AND ANYONE BESIDES YOU.
*  0xe328d8daa44b766f8a2e04e0479f6b316c0bf290
*/ 

"GENESIS L1 GIFT v1",
"0xaf5d0915019f64314bdaccdfd45a86b2eafbcc6d",12665
"0xa31c41b9d2452bc5b83b04e56966c230b9f85c97",12629
"0x818624d97f6ed4854783ea0a2d39acbc6ef25d44",12533
"0xa620a12dc539a3b87a7f8591a856d3e7e3255cfa",12473
"0x5db070d7ddaa58ecc9eec06926c49a54777c2db3",12411
"0x7010c548c6d06ecdd030127eb12226d385c9ae68",12267
"0xb9d347aec9ce7b62c7e5fd6605af90bac0192528",12204
"0x1550c8f2bb02f1eea00e656457cf0253c560d711",12151
"0x0f2990342bfe3d6c3538c7878928eaea824cdcd8",12120
"0x207421ade4d6b5e693448bc0357032f009aa1351",12031
"0x9dea78134249e3791e589a6b9d351d8709d0aabf",12016
"0x54b0124e98ac88c925ef61bfa8deac41084f0118",11954
"0xd7655afd6dea77126b50971f6d04329eb232937c",11449
"0x44e91d79872ab3f72d1a1e1e99b3767597099588",11191
"0x57a19dc7deeb8407a468181642da6b711c50352f",11073
"0x3760bb72ae9ce457a85959c9537ae8e4add60b73",11041
"0x12d01702a189c9a70276fe1d97a92acabe17f546",11029
"0xb435e80f07179be24d79844348f0737e2c751b5c",11014
"0xd0923192bcece5bcb3997e2578201c30813ae94c",10904
"0x49d2db5f6c17a5a2894f52125048aaa988850009",10870
"0x07ef59d4f699432e2db90aac6c45dd8048d0b098",10823
"0xcd3b426ddad955ffa470e235875735f3a9f4d83a",10727
"0xb4b6829bc615e861ea63f2a81f7d0d18d7cc98a4",10723
"0x23fb5b38de7a8c14f74c96136a7f321e4f0f12d1",10680
"0xa020a1afdec38a17d4f400dad0a7656c6e0ed6f2",10517
"0xb798caf4b017605aeb55089ba436a0cfd9388be1",10482
"0x62f9579cb775afeb2721064107135d18b990624f",10276
"0xdf6370ae078c2ac5697c9543e463cad2a023b2af",10173
"0xccee88812bea9ba2820afa1737e25771988d57d1",10086
"0x3e7c5b294fb4eb49535a8fe207398b0182b53b09",10063
"0xb3397a6feedff2b9fce9ca1086cb1bdd617c16bf",10039
"0x30d30628a38769975826e3b0c53ae608952c6892",10028
"0xfeec31ad0fcb6d09b1521a463b3419447779d88e",10000
"0x4e3a2fe1417c69eecf6b3becaf10d23204f55caa",9999
"0x10b4a2d09ddf5abe366a518ec00b97f3a6865c14",9999
"0x5fce8533ac34586542ae079ddc404f2541776c65",9999
"0xd49c04cfc74884d6d992d3026494a2a98d2fa972",9999
"0xc869be5e1bb6d2a4bbdfe89387077afd9fda601f",9999
"0x05c09bbf110750c64bfbea847147b423743c4ac6",9999
"0xa038291c26c7e432df3e438193f4e97add7b2781",9999
"0xd0a192ee040542e411a0964aa8de34f253e14142",9999
"0xa7a50c4c10032b2895664f94e666636c4d535e6a",9962
"0xbab822089d15319ee7872200ce8e77c0e0d999b5",9785
"0xf74f489adf89f6ec65a110aa0e7ae4ff8a476505",9748
"0x7dbec18a6d01c4478b686cdaab51a61c6b246359",9734
"0x0b25e396b810baba459d5cc1eecffdde93536877",9659
"0x4471499d6f6c5347ff088f21eb54df3a2224fbc6",9595
"0xc8993a0a045b7e25249390d909acc875ecd107c9",9519
"0x04c7cd363fed04aaf4588c85ffce40b3d39a6b58",9491
"0x1086f1e0dff39a55dffa5703add9154e9f292945",9462
"0xe8b008cda99fd7b93cd56d065956d6d59d0c66c1",9337
"0x12b144404d3e73ebe9e18ccddf3790cbb98cd3e4",9183
"0x91ddfcf6f90904f4575b3a1c746d20f36ab6dc55",8875
"0xc8ff342f191c479ec6096d94184920bb66e60e2e",8871
"0xa853f0669544dc1829ed1a23a966e689df122c57",8852
"0x3bc9f5183551b9d323e55192910923980cc536f5",8828
"0xcbc3eba17f70a9353306a197bb5499181bd10ebb",8724
"0x8dc251ba18f2afbea10d20eea5be0a882a93bbfc",8534
"0xa081a2982c33db9015674f084dcf2e31454d398c",8521
"0xc4484643ceb8348a90df122e254d36fccab0e8ea",8450
"0x356988142e0da92423ae52b2c2961f22f09c5e84",8346
"0x3c1df5705ce534b62f626411a3c421484b998cda",8275
"0xa34b0ed71eb7003e023944898bb4bc620f048f3a",8209
"0xd418d2277c784d3e69db22e02cbcf281bc018078",8198
"0x1a7d2d7c4018401f898882485ac6b97b9519a9eb",8178
"0xd7274d3497d37602c48579af39063e73ccb47b2f",8147
"0xd4885f1490ce5ff4820591ae241d94cc803c9bce",8136
"0x825cc9fff8faff1669f8162332a9c2843689edd9",8037
"0x497e289791fc2c2b355c259d9516f079d9b52a63",7975
"0x1ea3f69e12e82a49baa59ecb6e2c504fc944d6d3",7923
"0x91cfca0807fcc0737a3727e584a366d5fe9c9439",7909
"0x355559377df6a368fe1707091f1f2b67a5fa0f52",7859
"0x41fec248777efa4bdba27108cef74da24b74a4bb",7848
"0x9660c671f607132cc5d1418648ad1e29bcb1cabc",7831
"0xc501a034678f7a0ba939d02c4fa5f7f138565561",7812
"0xc6f7d3666f36e0b5be0c19e192d7aa2c55062865",7799
"0x1eb80cb87a6ae48fe721a86ec9c9355b27054b54",7789
"0xf4401fa25244ff799505972df091e4e6ed6bbcc5",7788
"0x172081575a69cfda6c6d977dd522005f4a74c882",7776
"0x492b731eabf290fd765de99ff3fba62ac9cd4116",7769
"0xf9ddbac904d27f66207d140c1ca647aeb6192855",7723
"0xa7913da0013d91f1628de67cc0e5d5ad933dc6fd",7657
"0x6137dfeb5078c79332fb5ed423b570bcf17e60a9",7614
"0x2a8f1940ff9edb8a6be937f171cc12e1e2eab264",7562
"0x646d3b8d8eb8fa3e1edec5efe899d2afb305d483",7537
"0xeb88ef10645713cfda684b650347b2d8b9b02b9f",7485
"0xca0be83eb292eac52b37015af0086c955839ccae",7467
"0x63c7bc068b7e32f972dac8fd7e0a953186727c74",7432
"0x86221c870635a971bfed6862c125d2e804aa9fae",7360
"0xf4667903f598b4f6ce573a7b38ff59b9f2c0cde0",7359
"0xbec9f68fef05787e9193f31ed9403c8d5d8541fa",7345
"0x40ae09bd26e2ea06ff11bb11a57c4e5d60a6f3be",7272
"0xb76f62c8995a14379a3d6d7bcbb8848473c63a29",7270
"0xb684078fec38479bd047670853ab4b2d73e22159",7193
"0xcce8d59affdd93be338fc77fa0a298c2cb65da59",7163
"0xfa1247248b7849b6282cb74e327562ca25dee40c",7128
"0x36d20570d56bbfddc66cee7d281569e82c359fc2",7093
"0x3cff517165de749bae9fc68d79125f03079f5f6a",7086
"0xd06d5da2b78b804514224e80c1b80f166029694a",7083
"0x5b00ad49ea68024f16e81db86d7ecc119a6a0bee",7050
"0xbb9e9d93cdbaf5cf14df884deadf4b4e5dead5fb",7023
"0x24429ce44f3eaa4a2a38ab76936855d8a29ff07a",7012
"0xc329313f86d8c0a3fc2ff9e84943662c445b2fa5",7012
"0x3921bf53813e8726fe1dd0ffeda0b9ce8d7dd4e4",6900
"0x6e0f74ce1630529e766f6ce0d6b5d8d655a897bf",6802
"0x71477fa9e4d55f60cafc6122ef2f139ef417a0fd",6701
"0x7c2a24e8f09892d42b4cc78ac0c379e5ea2ca330",6691
"0x945a41b831fb70860a968aa5d475aaf1dc31d9c7",6661
"0x30906ac30741869cb52db87d8a5a4ef40be16a20",6611
"0x66792bbcf56632e16a0ae3aeee1cb7abeea109b4",6515
"0x7b6d03eda08626bbff1abdf1340b999670e1fc28",6386
"0x8a84b069f5e829e7deccacb703fea93629cfc131",6385
"0x9bfcf46b1a01dda1b652a391158891569b5dddac",6356
"0x5a323e5865a12a933c288b1fd59dfe40bef2d97f",6324
"0x0da4e20627636c0f4c3850fb3b5f36fedbe07ce4",6322
"0x14d5660762f20074a85a512f7c75a0103f57bc64",6280
